0,"Flying sex snakes.",0,0
1,"Michelle Obama's arms.",0,0
2,"German dungeon porn.",0,0
3,"White people.",0,0
4,"Getting so angry that you pop a boner.",0,0
5,"Tasteful sideboob.",0,0
6,"Praying the gay away.",0,0
7,"Two midgets shitting into a bucket.",0,0
8,"MechaHitler.",0,0
9,"Being a motherfucking sorcerer.",0,0
10,"A disappointing birthday party.",0,0
11,"Puppies!",0,0
12,"A windmill full of corpses.",0,0
13,"Guys who don't call.",0,0
14,"Racially-biases SAT questions.",0,0
15,"Dying.",0,0
16,"Steven Hawking talking dirty.",0,0
17,"Being on fire.",0,0
18,"A lifetime of sadness.",0,0
19,"An erection that lasts longer than four hours.",0,0
20,"AIDS",0,0
21,"Same-sex ice dancing.",0,0
22,"Glenn Beck catching his scrotum on a curtain hook.",0,0
23,"The Rapture.",0,0
24,"Pterodactyl eggs.",0,0
25,"Crippling debt.",0,0
26,"Eugenics.",0,0
27,"Exchanging pleasantries.",0,0
28,"Dying of dysentery.",0,0
29,"Roofies.",0,0
30,"Getting naked and watching Nickelodeon.",0,0
31,"The forbidden fruit.",0,0
32,"Republicans.",0,0
33,"The Big Bang.",0,0
34,"Anal beads.",0,0
35,"Amputees.",0,0
36,"Men.",0,0
37,"Surprise sex!",0,0
38,"Kim Jong-il.",0,0
39,"Concealing a boner.",0,0
40,"Agriculture.",0,0
41,"Glenn Beck being harried by a swarm of buzzards.",0,0
42,"Making a pouty face.",0,0
43,"A salty surprise.",0,0
44,"The Jews.",0,0
45,"Charisma.",0,0
46,"YOU MUST CONSTRUCT ADDITIONAL PYLONS.",0,0
47,"Panda Sex.",0,0
48,"Taking off your shirt.",0,0
49,"A drive-by shooting.",0,0
50,"Ronald Reagan.",0,0
51,"Morgan Freeman's voice.",0,0
52,"Breaking out into song and dance.",0,0
53,"Jewish fraternities.",0,0
54,"Dead babies.",0,0
55,"Masturbation.",0,0
56,"Hormone injections.",0,0
57,"All-you-can-eat shrimp for $4.99.",0,0
58,"Incest.",0,0
59,"Scalping.",0,0
60,"Soup that is too hot.",0,0
61,"The Übermensch.",0,0
62,"Nazis.",0,0
63,"Tom Cruise.",0,0
64,"Stifling a giggle at the mention of Hutus and Tutsis.",0,0
65,"Edible underpants.",0,0
66,"The Hustle.",0,0
67,"A Super Soaker full of cat pee.",0,0
68,"Figgy pudding.",0,0
